phase,time_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,stroke_volume_mL,systemic_vascular_resistance_mmHg_s_mL,blood_volume_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,pulse_pressure_mmHg
post,898.6999999994727,142.28446999816998,82.92265821274076,113.6644747300688,72.0186701693739,4.415546230595291,61.31113251898134,1.494838576712485,5485.867077934864,0.9994892066222099,0.9999742023546568,0.9997680705610176,1.0000654954887607,59.361811785429225
post,899.6999999994717,142.29195572638056,82.92248830797834,113.66998252880003,72.01877822385792,4.415952279408059,61.316678626258216,1.494776959323266,5485.865842072088,0.9994872311234332,0.9999741025819913,0.999764767227444,1.0000671503917247,59.36946741840222
post,900.6999999994708,142.29433922960033,82.92735692490335,113.67252795629078,72.01884065636484,4.415842647926491,61.315103210235165,1.4948492947137821,5485.86633150679,0.9994409431161435,0.9999717648038456,0.9997434545148715,1.0000733515434252,59.366982304696975
post,901.6999999994699,142.29512718798006,82.92923833166931,113.67341142539586,72.01878422643573,4.415786939196043,61.3143777227935,1.4948803818419325,5485.868297423216,0.9993811480362418,0.9999687448503151,0.9997164038537945,1.0000810763412447,59.36588885631075
post,902.699999999469,142.2851802698978,82.92636983077861,113.66628046739535,72.01833109240822,4.415271129483307,61.307601308033384,1.4949586499469676,5485.870946877358,0.999378741988569,0.9999686233327558,0.9997124149264789,1.0000830878573386,59.358810439119196
post,903.6999999994681,142.28479310780492,82.92589391741303,113.66622081428989,72.01811831438418,4.415214281364144,61.3069930831877,1.4949779580451394,5485.870296171941,0.9993934992038805,0.9999693686466608,0.9997155089816093,1.0000833116641992,59.35889919039188
post,904.6999999994672,142.2927422969406,82.9267508625541,113.6721625501853,72.01795781557705,4.41558865851145,61.31232809765101,1.4949329584755189,5485.868807614142,0.999378479400603,0.9999686100707379,0.9997067175836717,1.0000864887687761,59.36599143438649
post,905.6999999994663,142.2950579367868,82.93171149474178,113.67460847807772,72.01772054928864,4.415462274432785,61.31077519193154,1.4950096081987154,5485.868956016943,0.9993169491306275,0.9999655024813452,0.9996789387702062,1.0000944796935227,59.36334644204503
post,906.6999999994654,142.29555722505756,82.93332797678077,113.67518808951151,72.01733741132877,4.415391678847191,61.310121111928574,1.4950415891692264,5485.870653928759,0.999244831461029,0.9999618601747998,0.9996465191489825,1.0001037419101233,59.36222924827679
post,907.6999999994645,142.28427341409935,82.92583541889451,113.66653546855602,72.01633084163846,4.414965164417161,61.30505557309666,1.4950689956605654,5485.873525770554,0.9992807811310057,0.9999636758146974,0.9996577399843537,1.0001021219673565,59.35843799520484
