target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
125,65,True,1.001539471722842,0.6220506170529648,125.0,65.0,0.0,0.0,0.0,ok,123.31944934814237,124.97502857378663,65.03173740733124,96.28363111992459,59.94470380672992,72.01494320923909,5.820009549343168,-0.02497142621336934,0.03173740733123509,0.040383600028210516,True
125,70,True,1.0700374046981875,0.6720342630515159,125.0,70.0,0.0,0.0,0.0,ok,127.03950010007247,124.98735226181188,70.06727276907665,98.72560514285001,54.92048623095618,72.0139500298723,5.616486374134288,-0.012647738188121593,0.06727276907665214,0.06845137500821903,True
125,75,True,1.155693309552986,0.7388068458962561,125.00000000000001,75.0,1.4210854715202004e-14,0.0,1.4210854715202004e-14,ok,143.0692717519123,124.98867227450555,75.0161025847801,101.51591417502192,49.975231342976066,72.010443605001,5.380419481008163,-0.011327725494453489,0.01610258478009996,0.019687828764950146,True
125,80,True,1.2320607214479735,0.8034615948507343,125.00065472396865,79.99833965247596,0.000654723968651183,-0.00166034752403732,0.001784773760369424,ok,126.76913126697764,125.00554528591894,80.01424215318721,103.79796345740442,44.99115761530505,72.01319653952629,5.185229512590889,0.005545285918941545,0.01424215318721167,0.015283622716189212,True
125,85,True,1.30489410157714,0.8847863709940559,125.00085698195947,84.9978889600969,0.0008569819594725914,-0.002111039903098799,0.0022783563266830916,ok,170.55047944793478,124.98904106112232,85.01222262286325,106.0163444199034,39.97844524839377,72.01065593518138,4.9984240110304325,-0.010958938877678293,0.012222622863248489,0.01641617650312927,True
125,90,True,1.4115731695771896,0.9960542257926673,125.0,89.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,173.61194753902964,124.95182225095562,89.94936891525455,108.48707138202863,35.00684357403831,72.01059203750805,4.763213864023527,-0.048177749044384655,-0.0506310847454472,0.06988992949978103,True
125,95,False,,,,,,,,,,,,,,,,,,,False
125,100,False,,,,,,,,,,,,,,,,,,,False
125,105,False,,,,,,,,,,,,,,,,,,,False
125,110,False,,,,,,,,,,,,,,,,,,,False
125,115,False,,,,,,,,,,,,,,,,,,,False
125,120,False,,,,,,,,,,,,,,,,,,,False
125,125,False,,,,,,,,,,,,,,,,,,,False
130,45,False,,,,,,,,,,,,,,,,,,,False
130,50,False,,,,,,,,,,,,,,,,,,,False
130,55,False,,,,,,,,,,,,,,,,,,,False
130,60,False,,,,,,,,,,,,,,,,,,,False
130,65,True,1.0697181709719985,0.5452456792636011,130.0,64.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,144.6041360029485,130.09243032768802,65.10932919313416,98.83787879507234,64.98288085865717,72.00251556999206,5.618572770746845,0.09243032768802095,0.10932919313415823,0.143165072374099,True
130,70,True,1.1430264061387518,0.5857579542835298,130.0,70.0,0.0,0.0,0.0,ok,124.35179842007346,129.97597263722443,70.07769872686075,101.21277996097811,59.898809737022674,72.01214009635729,5.418415378698726,-0.024027362775569827,0.07769872686074564,0.08132900047172345,True
130,75,True,1.2352271706813767,0.6380220360031391,130.0,74.99999999999999,0.0,-1.4210854715202004e-14,1.4210854715202004e-14,ok,127.44749112077989,129.97793259390966,75.03228105072932,104.04704672128193,54.94917562815117,72.0150028716701,5.184836667501538,-0.02206740609034341,0.03228105072932408,0.03910289820135229,True
130,80,True,1.3146486422402837,0.6882152756416342,130.13616990469689,80.1796447979878,0.13616990469688517,0.1796447979878053,0.22542070976118891,ok,124.85459951404482,129.95784029684938,79.97899467125731,106.26834384397083,49.980390807800276,72.0106599203006,4.997962530907751,-0.04215970315061668,-0.02100532874268879,0.04710270061617004,True
130,85,True,1.3845280588493847,0.7487199597288663,130.01243669378192,85.01607515367334,0.012436693781921804,0.016075153673341447,0.020324416789832753,ok,156.10605016816407,129.77424335248918,84.67679291848361,108.27400277833124,45.09675001330426,72.01090298098075,4.832108555874544,-0.22575664751082059,-0.32320708151638655,0.3942446974122354,True
