domain,target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier
prescribed,190,80,False,,
prescribed,190,85,False,,
prescribed,190,90,False,,
prescribed,190,95,False,,
prescribed,190,100,False,,
prescribed,190,105,False,,
prescribed,190,110,False,,
prescribed,190,115,False,,
prescribed,190,120,False,,
prescribed,190,125,False,,
prescribed,190,130,False,,
prescribed,190,135,False,,
prescribed,190,140,False,,
prescribed,195,40,False,,
prescribed,195,45,False,,
prescribed,195,50,False,,
prescribed,195,55,False,,
prescribed,195,60,False,,
prescribed,195,65,False,,
prescribed,195,70,False,,
prescribed,195,75,False,,
prescribed,195,80,False,,
prescribed,195,85,False,,
prescribed,195,90,False,,
prescribed,195,95,False,,
prescribed,195,100,False,,
prescribed,195,105,False,,
prescribed,195,110,False,,
prescribed,195,115,False,,
prescribed,195,120,False,,
prescribed,195,125,False,,
prescribed,195,130,False,,
prescribed,195,135,False,,
prescribed,195,140,False,,
prescribed,200,40,False,,
prescribed,200,45,False,,
prescribed,200,50,False,,
prescribed,200,55,False,,
prescribed,200,60,False,,
prescribed,200,65,False,,
prescribed,200,70,False,,
prescribed,200,75,False,,
prescribed,200,80,False,,
prescribed,200,85,False,,
prescribed,200,90,False,,
prescribed,200,95,False,,
prescribed,200,100,False,,
prescribed,200,105,False,,
prescribed,200,110,False,,
prescribed,200,115,False,,
prescribed,200,120,False,,
prescribed,200,125,False,,
prescribed,200,130,False,,
prescribed,200,135,False,,
prescribed,200,140,False,,
prescribed,205,40,False,,
prescribed,205,45,False,,
prescribed,205,50,False,,
prescribed,205,55,False,,
prescribed,205,60,False,,
prescribed,205,65,False,,
prescribed,205,70,False,,
prescribed,205,75,False,,
prescribed,205,80,False,,
prescribed,205,85,False,,
prescribed,205,90,False,,
prescribed,205,95,False,,
prescribed,205,100,False,,
prescribed,205,105,False,,
prescribed,205,110,False,,
prescribed,205,115,False,,
prescribed,205,120,False,,
prescribed,205,125,False,,
prescribed,205,130,False,,
prescribed,205,135,False,,
prescribed,205,140,False,,
prescribed,210,40,False,,
prescribed,210,45,False,,
prescribed,210,50,False,,
prescribed,210,55,False,,
prescribed,210,60,False,,
prescribed,210,65,False,,
prescribed,210,70,False,,
prescribed,210,75,False,,
prescribed,210,80,False,,
prescribed,210,85,False,,
prescribed,210,90,False,,
prescribed,210,95,False,,
prescribed,210,100,False,,
prescribed,210,105,False,,
prescribed,210,110,False,,
prescribed,210,115,False,,
prescribed,210,120,False,,
prescribed,210,125,False,,
prescribed,210,130,False,,
prescribed,210,135,False,,
prescribed,210,140,False,,
prescribed,215,40,False,,
prescribed,215,45,False,,
prescribed,215,50,False,,
prescribed,215,55,False,,
prescribed,215,60,False,,
prescribed,215,65,False,,
prescribed,215,70,False,,
prescribed,215,75,False,,
prescribed,215,80,False,,
prescribed,215,85,False,,
prescribed,215,90,False,,
prescribed,215,95,False,,
prescribed,215,100,False,,
prescribed,215,105,False,,
prescribed,215,110,False,,
prescribed,215,115,False,,
prescribed,215,120,False,,
prescribed,215,125,False,,
prescribed,215,130,False,,
prescribed,215,135,False,,
prescribed,215,140,False,,
prescribed,220,40,False,,
prescribed,220,45,False,,
prescribed,220,50,False,,
prescribed,220,55,False,,
prescribed,220,60,False,,
prescribed,220,65,False,,
prescribed,220,70,False,,
prescribed,220,75,False,,
prescribed,220,80,False,,
prescribed,220,85,False,,
prescribed,220,90,False,,
prescribed,220,95,False,,
prescribed,220,100,False,,
prescribed,220,105,False,,
prescribed,220,110,False,,
prescribed,220,115,False,,
prescribed,220,120,False,,
prescribed,220,125,False,,
prescribed,220,130,False,,
prescribed,220,135,False,,
prescribed,220,140,False,,
calibration_extended,80,40,False,,
calibration_extended,80,45,False,,
calibration_extended,80,50,False,,
calibration_extended,80,55,False,,
calibration_extended,80,60,False,,
calibration_extended,80,65,False,,
calibration_extended,80,70,False,,
calibration_extended,80,75,False,,
calibration_extended,80,80,False,,
calibration_extended,80,85,False,,
calibration_extended,80,90,False,,
calibration_extended,80,95,False,,
calibration_extended,80,100,False,,
calibration_extended,80,105,False,,
calibration_extended,80,110,False,,
calibration_extended,80,115,False,,
calibration_extended,80,120,False,,
calibration_extended,80,125,False,,
calibration_extended,80,130,False,,
calibration_extended,80,135,False,,
calibration_extended,80,140,False,,
calibration_extended,85,40,False,,
calibration_extended,85,45,False,,
calibration_extended,85,50,False,,
calibration_extended,85,55,False,,
calibration_extended,85,60,False,,
calibration_extended,85,65,False,,
calibration_extended,85,70,False,,
calibration_extended,85,75,False,,
calibration_extended,85,80,False,,
calibration_extended,85,85,False,,
calibration_extended,85,90,False,,
calibration_extended,85,95,False,,
calibration_extended,85,100,False,,
calibration_extended,85,105,False,,
calibration_extended,85,110,False,,
calibration_extended,85,115,False,,
calibration_extended,85,120,False,,
calibration_extended,85,125,False,,
calibration_extended,85,130,False,,
calibration_extended,85,135,False,,
calibration_extended,85,140,False,,
calibration_extended,90,40,False,,
calibration_extended,90,45,False,,
calibration_extended,90,50,False,,
calibration_extended,90,55,False,,
calibration_extended,90,60,False,,
calibration_extended,90,65,False,,
calibration_extended,90,70,False,,
calibration_extended,90,75,False,,
calibration_extended,90,80,False,,
calibration_extended,90,85,False,,
calibration_extended,90,90,False,,
calibration_extended,90,95,False,,
calibration_extended,90,100,False,,
calibration_extended,90,105,False,,
calibration_extended,90,110,False,,
calibration_extended,90,115,False,,
calibration_extended,90,120,False,,
calibration_extended,90,125,False,,
calibration_extended,90,130,False,,
calibration_extended,90,135,False,,
calibration_extended,90,140,False,,
calibration_extended,95,40,False,,
calibration_extended,95,45,False,,
calibration_extended,95,50,False,,
calibration_extended,95,55,False,,
calibration_extended,95,60,False,,
calibration_extended,95,65,False,,
calibration_extended,95,70,False,,
calibration_extended,95,75,False,,
calibration_extended,95,80,False,,
calibration_extended,95,85,False,,
calibration_extended,95,90,False,,
calibration_extended,95,95,False,,
calibration_extended,95,100,False,,
calibration_extended,95,105,False,,
calibration_extended,95,110,False,,
calibration_extended,95,115,False,,
calibration_extended,95,120,False,,
calibration_extended,95,125,False,,
calibration_extended,95,130,False,,
calibration_extended,95,135,False,,
calibration_extended,95,140,False,,
calibration_extended,100,40,False,,
calibration_extended,100,45,False,,
calibration_extended,100,50,False,,
calibration_extended,100,55,False,,
calibration_extended,100,60,False,,
calibration_extended,100,65,False,,
calibration_extended,100,70,False,,
calibration_extended,100,75,False,,
calibration_extended,100,80,False,,
calibration_extended,100,85,False,,
calibration_extended,100,90,False,,
calibration_extended,100,95,False,,
calibration_extended,100,100,False,,
calibration_extended,100,105,False,,
calibration_extended,100,110,False,,
calibration_extended,100,115,False,,
calibration_extended,100,120,False,,
calibration_extended,100,125,False,,
calibration_extended,100,130,False,,
calibration_extended,100,135,False,,
calibration_extended,100,140,False,,
calibration_extended,105,40,False,,
calibration_extended,105,45,False,,
calibration_extended,105,50,False,,
calibration_extended,105,55,False,,
calibration_extended,105,60,False,,
calibration_extended,105,65,False,,
calibration_extended,105,70,False,,
calibration_extended,105,75,False,,
calibration_extended,105,80,False,,
calibration_extended,105,85,False,,
calibration_extended,105,90,False,,
calibration_extended,105,95,False,,
calibration_extended,105,100,False,,
calibration_extended,105,105,False,,
calibration_extended,105,110,False,,
calibration_extended,105,115,False,,
calibration_extended,105,120,False,,
calibration_extended,105,125,False,,
calibration_extended,105,130,False,,
calibration_extended,105,135,False,,
calibration_extended,105,140,False,,
calibration_extended,110,40,False,,
calibration_extended,110,45,False,,
calibration_extended,110,50,False,,
calibration_extended,110,55,False,,
calibration_extended,110,60,False,,
calibration_extended,110,65,False,,
calibration_extended,110,70,False,,
calibration_extended,110,75,False,,
calibration_extended,110,80,False,,
calibration_extended,110,85,False,,
calibration_extended,110,90,False,,
calibration_extended,110,95,False,,
calibration_extended,110,100,False,,
calibration_extended,110,105,False,,
calibration_extended,110,110,False,,
calibration_extended,110,115,False,,
calibration_extended,110,120,False,,
calibration_extended,110,125,False,,
calibration_extended,110,130,False,,
calibration_extended,110,135,False,,
calibration_extended,110,140,False,,
calibration_extended,115,40,False,,
calibration_extended,115,45,False,,
calibration_extended,115,50,False,,
calibration_extended,115,55,False,,
calibration_extended,115,60,False,,
calibration_extended,115,65,False,,
calibration_extended,115,70,False,,
calibration_extended,115,75,False,,
calibration_extended,115,80,False,,
calibration_extended,115,85,False,,
calibration_extended,115,90,False,,
calibration_extended,115,95,False,,
calibration_extended,115,100,False,,
calibration_extended,115,105,False,,
calibration_extended,115,110,False,,
calibration_extended,115,115,False,,
calibration_extended,115,120,False,,
calibration_extended,115,125,False,,
calibration_extended,115,130,False,,
calibration_extended,115,135,False,,
calibration_extended,115,140,False,,
calibration_extended,120,40,False,,
calibration_extended,120,45,False,,
calibration_extended,120,50,False,,
calibration_extended,120,55,False,,
calibration_extended,120,60,False,,
calibration_extended,120,65,False,,
calibration_extended,120,70,True,1.001705586638085,0.7758139495258605
calibration_extended,120,75,True,1.0820309618318813,0.8621648697822832
