case,vessel,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,time_to_peak_phase,reflected_wave_present,reflected_wave_phase,augmentation_pressure_mmHg,augmentation_index_pct,openbf_converged,openbf_cycles,openbf_solver_elapsed_s,source,terminal_resistance_scale,terminal_compliance_scale,wall_youngs_modulus_scale
threshold_E_1p10,external_carotid_R,105.00016635590299,74.52793878387243,91.51325223156695,30.47222757203056,0.162,True,0.28200000000000003,4.1396440581799965,13.584973557954251,True,5,29.462887475,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.1
threshold_E_1p10,internal_carotid_R,113.99110214745319,73.80541545353655,91.33276581915632,40.18568669391664,0.132,True,0.302,7.081306247457533,17.62146383460833,True,5,29.462887475,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.1
threshold_E_1p25,aortic_arch_I,103.14455088871871,76.21486306763329,92.24252507628097,26.929687821085423,0.332,False,,,,True,5,29.010620687,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.25
threshold_E_1p25,external_carotid_R,106.32783783147914,73.00479991299649,91.94753857605575,33.323037918482655,0.152,True,0.334,3.5017819328416095,10.5085915077969,True,5,29.010620687,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.25
threshold_E_1p25,internal_carotid_R,113.60264802366882,72.1498931769359,91.75868968451911,41.452754846732915,0.13,True,0.28400000000000003,5.712052310855924,13.779668762608472,True,5,29.010620687,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.25
threshold_E_1p50,aortic_arch_I,105.22694775477451,73.00336966806871,92.16817134821794,32.2235780867058,0.312,False,,,,True,4,25.655105672,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.5
threshold_E_1p50,external_carotid_R,107.2191201573914,69.96392474789745,91.88328094231028,37.25519540949395,0.14200000000000002,True,0.332,2.8237462548708407,7.579469719144862,True,4,25.655105672,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.5
threshold_E_1p50,internal_carotid_R,112.71393366119415,69.34655817003278,91.68358745359686,43.36737549116137,0.12,True,0.262,3.9987547443650726,9.220651928037592,True,4,25.655105672,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.5
threshold_E_1p75,aortic_arch_I,107.46662356708096,71.08650894688583,92.59542808241662,36.38011462019513,0.294,False,,,,True,4,27.641645839,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.75
threshold_E_1p75,external_carotid_R,108.08581099633729,68.55385587776674,92.32053710034187,39.53195511857055,0.14,True,0.312,2.3534498045333265,5.953284621199443,True,4,27.641645839,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.75
threshold_E_1p75,internal_carotid_R,111.96522836773343,67.92840596127361,92.11439613172683,44.03682240645982,0.112,True,0.242,2.7364870885499926,6.214088435564719,True,4,27.641645839,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.75
threshold_E_2p00,aortic_arch_I,109.42439050023184,69.34941097349125,92.87423531784903,40.07497952674059,0.28200000000000003,False,,,,True,4,30.809300472,Pulse low-pulsatility threshold,1.0533248717747048,1.0,2.0
threshold_E_2p00,external_carotid_R,110.23541164523448,66.96260328288352,92.611184399685,43.27280836235096,0.292,True,0.494,2.0641803360022237,4.7701557031323665,True,4,30.809300472,Pulse low-pulsatility threshold,1.0533248717747048,1.0,2.0
threshold_E_2p00,internal_carotid_R,111.1785916789293,66.38245729048458,92.39741907815474,44.79613438844471,0.12,True,0.304,1.9685124301879142,4.394380133602995,True,4,30.809300472,Pulse low-pulsatility threshold,1.0533248717747048,1.0,2.0
threshold_E_2p50,aortic_arch_I,113.17106567425564,65.49052853568301,93.18364825673018,47.68053713857263,0.262,False,,,,True,4,32.059096821,Pulse low-pulsatility threshold,1.0533248717747048,1.0,2.5
threshold_E_2p50,external_carotid_R,114.43539595077125,63.00717592140165,92.9509680026296,51.428220029369605,0.262,False,,,,True,4,32.059096821,Pulse low-pulsatility threshold,1.0533248717747048,1.0,2.5
threshold_E_2p50,internal_carotid_R,114.43171195745481,62.38009737845735,92.73085830878897,52.05161457899746,0.272,True,0.486,1.041660107790932,2.001206141665462,True,4,32.059096821,Pulse low-pulsatility threshold,1.0533248717747048,1.0,2.5
default_inlet_E_2p50,aortic_arch_I,138.03362801348592,65.87370064899312,104.76044163060766,72.1599273644928,0.28200000000000003,True,0.444,4.096120336668363,5.676447422096368,True,4,41.92766517,ADAN56 default high-pulsatility reference,1.0,1.0,2.5
default_inlet_E_2p50,external_carotid_R,139.28941721915575,63.50621520546908,104.51161811243941,75.78320201368666,0.294,True,0.47600000000000003,14.940542128189435,19.714846735416554,True,4,41.92766517,ADAN56 default high-pulsatility reference,1.0,1.0,2.5
default_inlet_E_2p50,internal_carotid_R,139.62062030556766,62.65944557543973,104.27199678136601,76.96117473012792,0.254,True,0.494,18.471340381529174,24.000855556455292,True,4,41.92766517,ADAN56 default high-pulsatility reference,1.0,1.0,2.5
terminal_only_Cc_0p40,aortic_arch_I,100.70383132759729,78.9048060247605,91.73507381619484,21.79902530283678,0.354,True,0.636,0.7034279698971915,3.226878083423537,True,4,22.499279171,ICA terminal diagnostic,1.0533248717747048,0.4,1.0
terminal_only_Cc_0p40,external_carotid_R,104.73410372093024,75.39979709874609,91.43407821138754,29.334306622184144,0.17,True,0.354,8.907160164548856,30.364311245771166,True,4,22.499279171,ICA terminal diagnostic,1.0533248717747048,0.4,1.0
terminal_only_Cc_0p40,internal_carotid_R,116.97382255459058,74.43201627475942,91.27474144342642,42.541806279831164,0.14,True,0.322,16.40763875134286,38.56827009980916,True,4,22.499279171,ICA terminal diagnostic,1.0533248717747048,0.4,1.0
