case,vessel,metric,metric_class,effect_vs_normotensive,noise_floor,attribution_ratio,passes_1p25x_floor
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,mean_mmHg,amplitude,2.415293256326379,4.74706627215852,0.5087970375497055,False
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,pulse_pressure_mmHg,amplitude,10.081220716431751,1.244158569885144,8.102842322874013,True
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,time_to_peak_phase,shape,0.15199999999999997,0.008000000000000007,18.99999999999998,True
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,reflected_wave_phase,shape,0.21000000000000002,0.018000000000000016,11.666666666666657,True
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,augmentation_pressure_mmHg,amplitude,6.524191527227529,0.6132047230771605,10.639499797862094,True
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,augmentation_index_pct,shape,17.492866689213777,0.93417537965626,18.725463194770203,True
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.25834732056237736,0.04112379710612243,6.282185467837432,True
combined_arm1_inlet_only,aortic_arch_I,systolic_mmHg,amplitude,20.779614635750548,5.17739768431899,4.013524921735619,True
combined_arm1_inlet_only,aortic_arch_I,diastolic_mmHg,amplitude,27.758694404468486,4.230042473199788,6.562273211283054,True
combined_arm1_inlet_only,aortic_arch_I,mean_mmHg,amplitude,22.884964793817034,4.744868925191952,4.823097361512727,True
combined_arm1_inlet_only,aortic_arch_I,pulse_pressure_mmHg,amplitude,6.979079768717938,1.8487021370518306,3.7751239795977316,True
combined_arm1_inlet_only,aortic_arch_I,time_to_peak_phase,shape,0.02799999999999997,0.10999999999999999,0.2545454545454543,False
combined_arm1_inlet_only,aortic_arch_I,reflected_wave_phase,shape,0.030000000000000027,0.272,0.11029411764705892,False
combined_arm1_inlet_only,aortic_arch_I,augmentation_pressure_mmHg,amplitude,0.21853431504597154,0.3457850702287715,0.6319946517684791,False
combined_arm1_inlet_only,aortic_arch_I,augmentation_index_pct,shape,2.687739720704437,2.023425080535291,1.3283119531133833,True
combined_arm1_inlet_only,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.06502558239605362,0.026479083186176207,2.455733906602974,True
combined_arm1_inlet_only,external_carotid_R,systolic_mmHg,amplitude,16.904378934955503,5.120386039422314,3.3013875916399984,True
combined_arm1_inlet_only,external_carotid_R,diastolic_mmHg,amplitude,28.4366478963871,4.189590828168193,6.787452298491021,True
combined_arm1_inlet_only,external_carotid_R,mean_mmHg,amplitude,23.067052180309986,4.746275062321828,4.860032736709074,True
combined_arm1_inlet_only,external_carotid_R,pulse_pressure_mmHg,amplitude,11.532268961431598,1.0128989650885813,11.385408968626068,True
combined_arm1_inlet_only,external_carotid_R,time_to_peak_phase,shape,0.12000000000000002,0.010000000000000009,11.999999999999991,True
combined_arm1_inlet_only,external_carotid_R,reflected_wave_phase,shape,0.24200000000000005,0.018000000000000016,13.444444444444436,True
combined_arm1_inlet_only,external_carotid_R,augmentation_pressure_mmHg,amplitude,3.6425654512883057,0.3927117276224408,9.275418061337668,True
combined_arm1_inlet_only,external_carotid_R,augmentation_index_pct,shape,10.518450539765894,0.8350050446611537,12.59687065008607,True
combined_arm1_inlet_only,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.07449879791154555,0.03817733446863761,1.9513881455696116,True
combined_arm1_inlet_only,internal_carotid_R,systolic_mmHg,amplitude,14.077788610492988,5.257513691409031,2.6776513456344597,True
combined_arm1_inlet_only,internal_carotid_R,diastolic_mmHg,amplitude,28.665264808742265,4.159181996588586,6.892043875996261,True
combined_arm1_inlet_only,internal_carotid_R,mean_mmHg,amplitude,23.144920282979342,4.74706627215852,4.875626114327493,True
combined_arm1_inlet_only,internal_carotid_R,pulse_pressure_mmHg,amplitude,14.587476198249277,1.244158569885144,11.724772509983142,True
combined_arm1_inlet_only,internal_carotid_R,time_to_peak_phase,shape,0.018000000000000016,0.008000000000000007,2.25,True
combined_arm1_inlet_only,internal_carotid_R,reflected_wave_phase,shape,0.02999999999999997,0.018000000000000016,1.6666666666666636,True
combined_arm1_inlet_only,internal_carotid_R,augmentation_pressure_mmHg,amplitude,1.6442496624158593,0.6132047230771605,2.6814041062253215,True
combined_arm1_inlet_only,internal_carotid_R,augmentation_index_pct,shape,19.005231313619678,0.93417537965626,20.34439327721617,True
combined_arm1_inlet_only,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.05663393228681522,0.04112379710612243,1.3771571759453038,True
combined_arm2_matched_stiffening,aortic_arch_I,systolic_mmHg,amplitude,31.5384224514643,5.17739768431899,6.091558805109002,True
combined_arm2_matched_stiffening,aortic_arch_I,diastolic_mmHg,amplitude,20.368831143720413,4.230042473199788,4.815278161571873,True
combined_arm2_matched_stiffening,aortic_arch_I,mean_mmHg,amplitude,25.859943197079488,4.744868925191952,5.450085893791752,True
combined_arm2_matched_stiffening,aortic_arch_I,pulse_pressure_mmHg,amplitude,11.169591307743886,1.8487021370518306,6.041855572015673,True
combined_arm2_matched_stiffening,aortic_arch_I,time_to_peak_phase,shape,0.09799999999999998,0.10999999999999999,0.8909090909090908,False
combined_arm2_matched_stiffening,aortic_arch_I,reflected_wave_phase,shape,,0.272,,False
combined_arm2_matched_stiffening,aortic_arch_I,augmentation_pressure_mmHg,amplitude,,0.3457850702287715,,False
combined_arm2_matched_stiffening,aortic_arch_I,augmentation_index_pct,shape,,2.023425080535291,,False
combined_arm2_matched_stiffening,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.08584888315637663,0.026479083186176207,3.242139561735102,True
combined_arm2_matched_stiffening,external_carotid_R,systolic_mmHg,amplitude,28.04937839733425,5.120386039422314,5.477981187625221,True
combined_arm2_matched_stiffening,external_carotid_R,diastolic_mmHg,amplitude,21.552551947338813,4.189590828168193,5.144309511667085,True
combined_arm2_matched_stiffening,external_carotid_R,mean_mmHg,amplitude,26.11221302161185,4.746275062321828,5.501622362534975,True
combined_arm2_matched_stiffening,external_carotid_R,pulse_pressure_mmHg,amplitude,6.496826449995439,1.0128989650885813,6.414091310111339,True
combined_arm2_matched_stiffening,external_carotid_R,time_to_peak_phase,shape,0.11000000000000001,0.010000000000000009,10.999999999999991,True
combined_arm2_matched_stiffening,external_carotid_R,reflected_wave_phase,shape,0.15200000000000002,0.018000000000000016,8.444444444444438,True
combined_arm2_matched_stiffening,external_carotid_R,augmentation_pressure_mmHg,amplitude,3.243480066612861,0.3927117276224408,8.259188199572165,True
combined_arm2_matched_stiffening,external_carotid_R,augmentation_index_pct,shape,12.268653230143745,0.8350050446611537,14.69290911304899,True
combined_arm2_matched_stiffening,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.12659082477176856,0.03817733446863761,3.3158633658869494,True
combined_arm2_matched_stiffening,internal_carotid_R,systolic_mmHg,amplitude,18.468246941268788,5.257513691409031,3.512733969946018,True
combined_arm2_matched_stiffening,internal_carotid_R,diastolic_mmHg,amplitude,21.82614003554221,4.159181996588586,5.24770016158088,True
combined_arm2_matched_stiffening,internal_carotid_R,mean_mmHg,amplitude,26.149674983359986,4.74706627215852,5.508596991099004,True
combined_arm2_matched_stiffening,internal_carotid_R,pulse_pressure_mmHg,amplitude,3.3578930942734218,1.244158569885144,2.6989269499493216,True
combined_arm2_matched_stiffening,internal_carotid_R,time_to_peak_phase,shape,0.132,0.008000000000000007,16.499999999999986,True
